caldt,spindx
20080102,1447.16
20080103,1447.16
20080104,1411.63
20080107,1416.18
20080108,1390.19
20080109,1409.13
20080110,1420.33
20080111,1401.02
20080114,1416.25
20080115,1380.95
20080116,1373.20
20080117,1333.25
20080118,1325.19
20080122,1310.50
20080123,1338.60
20080124,1352.07
20080125,1330.61
20080128,1353.97
20080129,1362.30
20080130,1355.81
20080131,1378.55
20080201,1395.42
20080204,1380.82
20080205,1336.64
20080206,1326.45
20080207,1336.91
20080208,1331.29
20080211,1339.13
20080212,1348.86
20080213,1367.21
20080214,1348.86
20080215,1349.99
20080219,1348.78
20080220,1360.03
20080221,1342.53
20080222,1353.11
20080225,1371.80
20080226,1381.29
20080227,1380.02
20080228,1367.68
20080229,1330.63
20080303,1331.34
20080304,1326.75
20080305,1333.70
20080306,1304.34
20080307,1293.37
20080310,1273.37
20080311,1320.65
20080312,1308.77
20080313,1315.48
20080314,1288.14
20080317,1276.60
20080318,1330.74
20080319,1298.42
20080320,1329.51
20080324,1349.88
20080325,1352.99
20080326,1341.13
20080327,1325.76
20080328,1315.22
20080331,1322.70
20080401,1370.18
20080402,1367.53
20080403,1369.31
20080404,1370.40
20080407,1372.54
20080408,1365.54
20080409,1354.49
20080410,1360.55
20080411,1332.83
20080414,1328.32
20080415,1334.43
20080416,1364.71
20080417,1365.56
20080418,1390.33
20080421,1388.17
20080422,1375.94
20080423,1379.93
20080424,1388.82
20080425,1397.84
20080428,1396.37
20080429,1390.94
20080430,1385.59
20080501,1409.34
20080502,1413.90
20080505,1407.49
20080506,1418.26
20080507,1392.57
20080508,1397.68
20080509,1388.28
20080512,1403.58
20080513,1403.04
20080514,1408.66
20080515,1423.57
20080516,1425.35
20080519,1426.63
20080520,1413.40
20080521,1390.71
20080522,1394.35
20080523,1375.93
20080527,1385.35
20080528,1390.84
20080529,1398.26
20080530,1400.38
20080602,1385.67
20080603,1377.65
20080604,1377.20
20080605,1404.05
20080606,1360.68
20080609,1361.76
20080610,1358.44
20080611,1335.49
20080612,1339.87
20080613,1360.03
20080616,1360.14
20080617,1350.93
20080618,1337.81
20080619,1342.83
20080620,1317.93
20080623,1318.00
20080624,1314.29
20080625,1321.97
20080626,1283.15
20080627,1278.38
20080630,1280.00
20080701,1284.91
20080702,1261.52
20080703,1262.90
20080707,1252.31
20080708,1273.70
20080709,1244.69
20080710,1253.39
20080711,1239.49
20080714,1228.30
20080715,1214.91
20080716,1245.36
20080717,1260.32
20080718,1260.68
20080721,1260.00
20080722,1277.00
20080723,1282.19
20080724,1252.54
20080725,1257.76
20080728,1234.37
20080729,1263.20
20080730,1284.26
20080731,1267.38
20080801,1260.31
20080804,1249.01
20080805,1284.88
20080806,1289.19
20080807,1266.07
20080808,1296.32
20080811,1305.32
20080812,1289.59
20080813,1285.83
20080814,1292.93
20080815,1298.20
20080818,1278.60
20080819,1266.69
20080820,1274.54
20080821,1277.72
20080822,1292.20
20080825,1266.84
20080826,1271.51
20080827,1281.66
20080828,1300.68
20080829,1282.83
20080902,1277.58
20080903,1274.98
20080904,1236.83
20080905,1242.31
20080908,1267.79
20080909,1224.51
20080910,1232.04
20080911,1249.05
20080912,1251.70
20080915,1192.70
20080916,1213.59
20080917,1156.39
20080918,1206.51
20080919,1255.08
20080922,1207.09
20080923,1188.22
20080924,1185.87
20080925,1209.18
20080926,1213.01
20080929,1106.39
20080930,1166.36
20081001,1161.06
20081002,1114.28
20081003,1099.23
20081006,1056.89
20081007,996.23
20081008,984.94
20081009,909.92
20081010,899.22
20081013,1003.35
20081014,998.01
20081015,907.84
20081016,946.43
20081017,940.55
20081020,985.40
20081021,955.05
20081022,896.78
20081023,908.11
20081024,876.77
20081027,848.92
20081028,940.51
20081029,930.09
20081030,954.09
20081031,968.75
20081103,966.30
20081104,1005.75
20081105,952.77
20081106,904.88
20081107,930.99
20081110,919.21
20081111,898.95
20081112,852.30
20081113,911.29
20081114,873.29
20081117,850.75
20081118,859.12
20081119,806.58
20081120,752.44
20081121,800.03
20081124,851.81
20081125,857.39
20081126,887.68
20081128,896.24
20081201,816.21
20081202,848.81
20081203,870.74
20081204,845.22
20081205,876.07
20081208,909.70
20081209,888.67
20081210,899.24
20081211,873.59
20081212,879.73
20081215,868.57
20081216,913.18
20081217,904.42
20081218,885.28
20081219,887.88
20081222,871.63
20081223,863.16
20081224,868.15
20081226,872.80
20081229,869.42
20081230,890.64
20081231,903.25
