caldt,spindx
20150102,2058.20
20150105,2020.58
20150106,2002.61
20150107,2025.90
20150108,2062.14
20150109,2044.81
20150112,2028.26
20150113,2023.03
20150114,2011.27
20150115,1992.67
20150116,2019.42
20150120,2022.55
20150121,2032.12
20150122,2063.15
20150123,2051.82
20150126,2057.09
20150127,2029.55
20150128,2002.16
20150129,2021.25
20150130,1994.99
20150202,2020.85
20150203,2050.03
20150204,2041.51
20150205,2062.52
20150206,2055.47
20150209,2046.74
20150210,2068.59
20150211,2068.53
20150212,2088.48
20150213,2096.99
20150217,2100.34
20150218,2099.68
20150219,2097.45
20150220,2110.30
20150223,2109.66
20150224,2115.48
20150225,2113.86
20150226,2110.74
20150227,2104.50
20150302,2117.39
20150303,2107.78
20150304,2098.53
20150305,2101.04
20150306,2071.26
20150309,2079.43
20150310,2044.16
20150311,2040.24
20150312,2065.95
20150313,2053.40
20150316,2081.19
20150317,2074.28
20150318,2099.50
20150319,2089.27
20150320,2108.10
20150323,2104.42
20150324,2091.50
20150325,2061.05
20150326,2056.15
20150327,2061.02
20150330,2086.24
20150331,2067.89
20150401,2059.69
20150402,2066.96
20150406,2080.62
20150407,2076.33
20150408,2081.90
20150409,2091.18
20150410,2102.06
20150413,2092.43
20150414,2095.84
20150415,2106.63
20150416,2104.99
20150417,2081.18
20150420,2100.40
20150421,2097.29
20150422,2107.96
20150423,2112.93
20150424,2117.69
20150427,2108.92
20150428,2114.76
20150429,2106.85
20150430,2085.51
20150501,2108.29
20150504,2114.49
20150505,2089.46
20150506,2080.15
20150507,2088.00
20150508,2116.10
20150511,2105.33
20150512,2099.12
20150513,2098.48
20150514,2121.10
20150515,2122.73
20150518,2129.20
20150519,2127.83
20150520,2125.85
20150521,2130.82
20150522,2126.06
20150526,2104.20
20150527,2123.48
20150528,2120.79
20150529,2107.39
20150601,2111.73
20150602,2109.60
20150603,2114.07
20150604,2095.84
20150605,2092.83
20150608,2079.28
20150609,2080.15
20150610,2105.20
20150611,2108.86
20150612,2094.11
20150615,2084.43
20150616,2096.29
20150617,2100.44
20150618,2121.24
20150619,2109.99
20150622,2122.85
20150623,2124.20
20150624,2108.58
20150625,2102.31
20150626,2101.49
20150629,2057.64
20150630,2063.11
20150701,2077.42
20150702,2076.78
20150706,2068.76
20150707,2081.34
20150708,2046.68
20150709,2051.31
20150710,2076.62
20150713,2099.60
20150714,2108.95
20150715,2107.40
20150716,2124.29
20150717,2126.64
20150720,2128.28
20150721,2119.21
20150722,2114.15
20150723,2102.15
20150724,2079.65
20150727,2067.64
20150728,2093.25
20150729,2108.57
20150730,2108.63
20150731,2103.84
20150803,2098.04
20150804,2093.32
20150805,2099.84
20150806,2083.56
20150807,2077.57
20150810,2104.18
20150811,2084.07
20150812,2086.05
20150813,2083.39
20150814,2091.54
20150817,2102.44
20150818,2096.92
20150819,2079.61
20150820,2035.73
20150821,1970.89
20150824,1893.21
20150825,1867.61
20150826,1940.51
20150827,1987.66
20150828,1988.87
20150831,1972.18
20150901,1913.85
20150902,1948.86
20150903,1951.13
20150904,1921.22
20150908,1969.41
20150909,1942.04
20150910,1952.29
20150911,1961.05
20150914,1953.03
20150915,1978.09
20150916,1995.31
20150917,1990.20
20150918,1958.03
20150921,1966.97
20150922,1942.74
20150923,1938.76
20150924,1932.24
20150925,1931.34
20150928,1881.77
20150929,1884.09
20150930,1920.03
20151001,1923.82
20151002,1951.36
20151005,1987.05
20151006,1979.92
20151007,1995.83
20151008,2013.43
20151009,2014.89
20151012,2017.46
20151013,2003.69
20151014,1994.24
20151015,2023.86
20151016,2033.11
20151019,2033.66
20151020,2030.77
20151021,2018.94
20151022,2052.51
20151023,2075.15
20151026,2071.18
20151027,2065.89
20151028,2090.35
20151029,2089.41
20151030,2079.36
20151102,2104.05
20151103,2109.79
20151104,2102.31
20151105,2099.93
20151106,2099.20
20151109,2078.58
20151110,2081.72
20151111,2075.00
20151112,2045.97
20151113,2023.04
20151116,2053.19
20151117,2050.44
20151118,2083.58
20151119,2081.24
20151120,2089.17
20151123,2086.59
20151124,2089.14
20151125,2088.87
20151127,2090.11
20151130,2080.41
20151201,2102.63
20151202,2079.51
20151203,2049.62
20151204,2091.69
20151207,2077.07
20151208,2063.59
20151209,2047.62
20151210,2052.23
20151211,2012.37
20151214,2021.94
20151215,2043.41
20151216,2073.07
20151217,2041.89
20151218,2005.55
20151221,2021.15
20151222,2038.97
20151223,2064.29
20151224,2060.99
20151228,2056.50
20151229,2078.36
20151230,2063.36
20151231,2043.94
